,epoch_index,epoch_start_sample,epoch_end_sample,epoch_start_sec,epoch_end_sec,sfreq_hz,eeg_mean,eeg_std,eeg_var,eeg_rms,eeg_zero_crossing_rate,eeg_bandpower_delta,eeg_rel_power_delta,eeg_bandpower_theta,eeg_rel_power_theta,eeg_bandpower_alpha,eeg_rel_power_alpha,eeg_bandpower_beta,eeg_rel_power_beta,eeg_theta_alpha_ratio,eeg_spectral_entropy,sleep_stage_n1,sleep_stage_n2,sleep_stage_n3,sleep_stage_rem,sleep_stage_w
eeg_zero_crossing_rate,0.11215929642135068,0.1100001754737224,0.1100001754737224,0.1100001754737224,0.1100001754737224,,-0.03714362605443409,-0.09361997247504762,-0.09361997247523955,-0.1149224192392202,1.0,-0.16239894315766384,-0.5527577386205107,0.03991045545161409,0.24254898349773701,0.24636093837093065,0.416782211915875,0.465162139163624,0.6767838669199225,-0.3599212603629146,0.6553270328211884,-0.015037071109499959,-0.29859274566046623,-0.27703076904753887,-0.08712955205147671,0.4158568272164093
eeg_bandpower_delta,-0.04135669530952576,-0.041458724857920314,-0.041458724857920314,-0.041458724857920314,-0.041458724857920314,,-0.05869053254571632,0.8904198443576605,0.8904198443594822,0.8773454809285908,-0.16239894315766384,1.0,0.5355978147928557,0.8307888849743692,-0.4927412905816535,0.5844985282216906,-0.6098235781344549,0.5104390662033822,-0.3914674502134802,0.3957017720636889,-0.26411630794585234,-0.2535382240388865,-0.24230096002163642,0.21059121257598518,-0.2923862085669372,0.39030176485383394
eeg_rel_power_delta,-0.00693918411641696,-0.006688580032851638,-0.006688580032851638,-0.006688580032851638,-0.006688580032851638,,-0.007010072035860628,0.35843899438848215,0.3584389943895054,0.3467621016440962,-0.5527577386205107,0.5355978147928557,1.0,0.08368899287483682,-0.7624326980623115,-0.24329998825818622,-0.8886110462700852,-0.32846725919702696,-0.883022200359484,0.5371613527994511,-0.8055118292925292,-0.1359048781362239,-0.016685353459248695,0.2771409483555458,-0.14390851449769942,0.040487955838772904
eeg_bandpower_theta,-0.037287782036767185,-0.03734011873321618,-0.03734011873321618,-0.03734011873321618,-0.03734011873321618,,-0.05509811430656942,0.7876890752463707,0.7876890752479817,0.7786380726502484,0.03991045545161409,0.8307888849743692,0.08368899287483682,1.0,0.00473953523255138,0.7860186532356723,-0.25029748459120726,0.6929762953529692,-0.0762199209806434,0.33442951576842306,0.12489894066555056,-0.23242476732541203,-0.21415653521705255,0.07937755134350392,-0.2154806766654964,0.3701750035722743
eeg_rel_power_theta,0.03619723713235825,0.03638932925314778,0.03638932925314778,0.03638932925314778,0.03638932925314778,,0.027924204809260833,-0.41172788450160014,-0.41172788441691477,-0.4021707876103318,0.24254898349773701,-0.4927412905816535,-0.7624326980623115,0.00473953523255138,1.0,0.046503478835451,0.6375905504614083,0.011094837016832369,0.4533911313934082,-0.057233688736017856,0.5885219455794737,0.10754099602351709,0.14273528504871363,-0.23751487796022924,0.23901407501386787,-0.19906516727074222
eeg_bandpower_alpha,-0.04234572240419937,-0.04236824825561768,-0.04236824825561768,-0.04236824825561768,-0.04236824825561768,,-0.06501218987701009,0.6342118225142306,0.6342118225155269,0.630006983401656,0.24636093837093065,0.5844985282216906,-0.24329998825818622,0.7860186532356723,0.046503478835451,1.0,0.22526246967592642,0.8389825944694026,0.29735273430728376,-0.2649378647528395,0.33060741699991875,-0.12968432855093534,-0.16394557498668916,0.03550033987593569,-0.21814424465149654,0.3001504662331782
eeg_rel_power_alpha,0.013805853249247563,0.013967552182137029,0.013967552182137029,0.013967552182137029,0.013967552182137029,,0.003681145546662169,-0.43862672986547285,-0.4386267272356768,-0.4264548761200296,0.416782211915875,-0.6098235781344549,-0.8886110462700852,-0.25029748459120726,0.6375905504614083,0.22526246967592642,1.0,0.1540428244702446,0.7615553725824216,-0.773703161131855,0.6259438509101212,0.20202322767548475,0.14726697385573445,-0.20265092132059975,0.16161952917469496,-0.21986262616623992
eeg_bandpower_beta,-0.06523358377830947,-0.06586787100574917,-0.06586787100574917,-0.06586787100574917,-0.06586787100574917,,-0.054143413354839354,0.5847041533225741,0.5847041533237689,0.5800515652487245,0.465162139163624,0.5104390662033822,-0.32846725919702696,0.6929762953529692,0.011094837016832369,0.8389825944694026,0.1540428244702446,1.0,0.5386931995292108,-0.20299912338039444,0.4729661639148835,-0.15561704864307105,-0.27680268415893794,-0.11331680319375155,-0.24997600628643077,0.48477638870988776
eeg_rel_power_beta,-0.01709104227452442,-0.01771086417103302,-0.01771086417103302,-0.01771086417103302,-0.01771086417103302,,-0.002851887724283285,-0.20808062756817758,-0.2080806249428359,-0.19938916585643174,0.6767838669199225,-0.3914674502134802,-0.883022200359484,-0.0762199209806434,0.4533911313934082,0.29735273430728376,0.7615553725824216,0.5386931995292108,1.0,-0.6287158136635623,0.770600016118422,0.09990513287391992,-0.10282324127494341,-0.28756483122379145,0.023197010064968007,0.14491344276487492
eeg_theta_alpha_ratio,0.014344721981209778,0.014315823377154483,0.014315823377154483,0.014315823377154483,0.014315823377154483,,0.014767340387451134,0.23851060281569578,0.23851060281640074,0.23092036135736677,-0.3599212603629146,0.3957017720636889,0.5371613527994511,0.33442951576842306,-0.057233688736017856,-0.2649378647528395,-0.773703161131855,-0.20299912338039444,-0.6287158136635623,1.0,-0.3451800502723671,-0.1805873993383663,-0.07951069796918109,0.06630885344994258,-0.0050987842710583965,0.125763458603217
eeg_spectral_entropy,-0.027322162692812114,-0.0288141767186291,-0.0288141767186291,-0.0288141767186291,-0.0288141767186291,,0.005038047785678849,-0.26720357543434853,-0.2672035754346804,-0.26519283670251287,0.6553270328211884,-0.26411630794585234,-0.8055118292925292,0.12489894066555056,0.5885219455794737,0.33060741699991875,0.6259438509101212,0.4729661639148835,0.770600016118422,-0.3451800502723671,1.0,0.010182200728958314,-0.08535333379024342,-0.24622393044391705,-0.030255232613961295,0.1848703764199746
sleep_stage_n1,0.02114750495743827,0.02151979505217016,0.02151979505217016,0.02151979505217016,0.02151979505217016,,0.0020749487597528653,-0.2047586290329037,-0.20475862903332354,-0.19885048392098595,-0.015037071109499959,-0.2535382240388865,-0.1359048781362239,-0.23242476732541203,0.10754099602351709,-0.12968432855093534,0.20202322767548475,-0.15561704864307105,0.09990513287391992,-0.1805873993383663,0.010182200728958314,1.0,-0.11853277258970492,-0.05083613121257243,-0.06854951284061454,-0.3171053558325533
sleep_stage_n2,-0.018695082157857645,-0.016919728771721165,-0.016919728771721165,-0.016919728771721165,-0.016919728771721165,,0.0016438322281218558,-0.2815508670996871,-0.28155086710026433,-0.27643428224456584,-0.29859274566046623,-0.24230096002163642,-0.016685353459248695,-0.21415653521705255,0.14273528504871363,-0.16394557498668916,0.14726697385573445,-0.27680268415893794,-0.10282324127494341,-0.07951069796918109,-0.08535333379024342,-0.11853277258970492,1.0,-0.10351528247513245,-0.13958422909007717,-0.6457070925819396
sleep_stage_n3,-0.08192567932220216,-0.08057146556452455,-0.08057146556452455,-0.08057146556452455,-0.08057146556452455,,-0.025274486115814294,0.1547833912953339,0.15478339129565125,0.1523480616713009,-0.27703076904753887,0.21059121257598518,0.2771409483555458,0.07937755134350392,-0.23751487796022924,0.03550033987593569,-0.20265092132059975,-0.11331680319375155,-0.28756483122379145,0.06630885344994258,-0.24622393044391705,-0.05083613121257243,-0.10351528247513245,1.0,-0.05986464359347352,-0.2769297449660361
sleep_stage_rem,0.014629659964814433,0.01590868411815109,0.01590868411815109,0.01590868411815109,0.01590868411815109,,-0.0069376768266215146,-0.207474136056902,-0.20747413605732734,-0.19683198445635652,-0.08712955205147671,-0.2923862085669372,-0.14390851449769942,-0.2154806766654964,0.23901407501386787,-0.21814424465149654,0.16161952917469496,-0.24997600628643077,0.023197010064968007,-0.0050987842710583965,-0.030255232613961295,-0.06854951284061454,-0.13958422909007717,-0.05986464359347352,1.0,-0.3734233635741849
sleep_stage_w,0.03166564232083034,0.028766711268964983,0.028766711268964983,0.028766711268964983,0.028766711268964983,,0.01203444832788057,0.37649749579063363,0.3764974957914055,0.3647136854858102,0.4158568272164093,0.39030176485383394,0.040487955838772904,0.3701750035722743,-0.19906516727074222,0.3001504662331782,-0.21986262616623992,0.48477638870988776,0.14491344276487492,0.125763458603217,0.1848703764199746,-0.3171053558325533,-0.6457070925819396,-0.2769297449660361,-0.3734233635741849,1.0
